# Gene set generated on 2023-05-25T09:31:47 using cellxgene version 1.1.2
# Input data file was /home/ed/data_cxg/cow_theileria.h5ad, which was last modified on 2023-05-15T14:37:54
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (25/05/2023, 09:31:45)",,ENSBTAG00000032764,
"Pop1 high (25/05/2023, 09:31:45)",,CD52,
"Pop1 high (25/05/2023, 09:31:45)",,ENSBTAG00000040367,
"Pop1 high (25/05/2023, 09:31:45)",,ENSBTAG00000033897,
"Pop1 high (25/05/2023, 09:31:45)",,SEC61B,
"Pop1 high (25/05/2023, 09:31:45)",,RPL32,
"Pop1 high (25/05/2023, 09:31:45)",,RPS20,
"Pop1 high (25/05/2023, 09:31:45)",,FTH1,
"Pop1 high (25/05/2023, 09:31:45)",,RPS13,
"Pop1 high (25/05/2023, 09:31:45)",,RPS23,
"Pop1 high (25/05/2023, 09:31:45)",,TA12105,
"Pop1 high (25/05/2023, 09:31:45)",,RPS25,
"Pop1 high (25/05/2023, 09:31:45)",,RPS12,
"Pop1 high (25/05/2023, 09:31:45)",,RPL21,
"Pop1 high (25/05/2023, 09:31:45)",,FAU,
"Pop1 high (25/05/2023, 09:31:45)",,TXN,
"Pop1 high (25/05/2023, 09:31:45)",,RPL28,
"Pop1 high (25/05/2023, 09:31:45)",,RPL26,
"Pop1 high (25/05/2023, 09:31:45)",,RPL27A,
"Pop1 high (25/05/2023, 09:31:45)",,RPS16,
"Pop1 high (25/05/2023, 09:31:45)",,NPAS2,
"Pop1 high (25/05/2023, 09:31:45)",,CFL1,
"Pop1 high (25/05/2023, 09:31:45)",,RPS27,
"Pop1 high (25/05/2023, 09:31:45)",,RPL17,
"Pop1 high (25/05/2023, 09:31:45)",,RPL34,
"Pop1 high (25/05/2023, 09:31:45)",,RPS15A,
"Pop1 high (25/05/2023, 09:31:45)",,RPS27A,
"Pop1 high (25/05/2023, 09:31:45)",,RPS19,
"Pop1 high (25/05/2023, 09:31:45)",,RPL27,
"Pop1 high (25/05/2023, 09:31:45)",,RPL12,
"Pop1 high (25/05/2023, 09:31:45)",,RPL23,
"Pop1 high (25/05/2023, 09:31:45)",,RPL19,
"Pop1 high (25/05/2023, 09:31:45)",,RPL37,
"Pop1 high (25/05/2023, 09:31:45)",,RPS10,
"Pop1 high (25/05/2023, 09:31:45)",,RPL30,
"Pop1 high (25/05/2023, 09:31:45)",,RPLP2,
"Pop1 high (25/05/2023, 09:31:45)",,RPS28,
"Pop1 high (25/05/2023, 09:31:45)",,RPS11,
"Pop1 high (25/05/2023, 09:31:45)",,RPS2,
"Pop1 high (25/05/2023, 09:31:45)",,TMSB10,
"Pop1 high (25/05/2023, 09:31:45)",,ZC3H10,
"Pop1 high (25/05/2023, 09:31:45)",,SSR4,
"Pop1 high (25/05/2023, 09:31:45)",,PFN1,
"Pop1 high (25/05/2023, 09:31:45)",,RPL18,
"Pop1 high (25/05/2023, 09:31:45)",,RPS17,
"Pop1 high (25/05/2023, 09:31:45)",,FTL,
"Pop1 high (25/05/2023, 09:31:45)",,RPS18,
"Pop1 high (25/05/2023, 09:31:45)",,RPS14,
"Pop1 high (25/05/2023, 09:31:45)",,ACTG1,
"Pop1 high (25/05/2023, 09:31:45)",,RPL13A,
"Pop2 high (25/05/2023, 09:31:45)",,PLXDC2,
"Pop2 high (25/05/2023, 09:31:45)",,SLIT2,
"Pop2 high (25/05/2023, 09:31:45)",,MBNL1,
"Pop2 high (25/05/2023, 09:31:45)",,NLGN1,
"Pop2 high (25/05/2023, 09:31:45)",,KCTD8,
"Pop2 high (25/05/2023, 09:31:45)",,SLC22A15,
"Pop2 high (25/05/2023, 09:31:45)",,SLC9A9,
"Pop2 high (25/05/2023, 09:31:45)",,GPC6,
"Pop2 high (25/05/2023, 09:31:45)",,MMP16,
"Pop2 high (25/05/2023, 09:31:45)",,RAD51B,
"Pop2 high (25/05/2023, 09:31:45)",,ALCAM,
"Pop2 high (25/05/2023, 09:31:45)",,OPHN1,
"Pop2 high (25/05/2023, 09:31:45)",,TCF7L2,
"Pop2 high (25/05/2023, 09:31:45)",,CHSY3,
"Pop2 high (25/05/2023, 09:31:45)",,RUNX2,
"Pop2 high (25/05/2023, 09:31:45)",,NAV2,
"Pop2 high (25/05/2023, 09:31:45)",,DOCK10,
"Pop2 high (25/05/2023, 09:31:45)",,MSRB3,
"Pop2 high (25/05/2023, 09:31:45)",,MGAT5,
"Pop2 high (25/05/2023, 09:31:45)",,PARD3,
"Pop2 high (25/05/2023, 09:31:45)",,PLPPR1,
"Pop2 high (25/05/2023, 09:31:45)",,ETV6,
"Pop2 high (25/05/2023, 09:31:45)",,IMMP2L,
"Pop2 high (25/05/2023, 09:31:45)",,BCAT1,
"Pop2 high (25/05/2023, 09:31:45)",,AGAP1,
"Pop2 high (25/05/2023, 09:31:45)",,ENSBTAG00000054424,
"Pop2 high (25/05/2023, 09:31:45)",,OSBPL10,
"Pop2 high (25/05/2023, 09:31:45)",,GPHN,
"Pop2 high (25/05/2023, 09:31:45)",,ZFPM2,
"Pop2 high (25/05/2023, 09:31:45)",,GAB1,
"Pop2 high (25/05/2023, 09:31:45)",,WWOX,
"Pop2 high (25/05/2023, 09:31:45)",,HDAC9,
"Pop2 high (25/05/2023, 09:31:45)",,ARAP2,
"Pop2 high (25/05/2023, 09:31:45)",,FOXP1,
"Pop2 high (25/05/2023, 09:31:45)",,FILIP1L,
"Pop2 high (25/05/2023, 09:31:45)",,GRB10,
"Pop2 high (25/05/2023, 09:31:45)",,ATP8A1,
"Pop2 high (25/05/2023, 09:31:45)",,JADE1,
"Pop2 high (25/05/2023, 09:31:45)",,DOCK1,
"Pop2 high (25/05/2023, 09:31:45)",,VPS13B,
"Pop2 high (25/05/2023, 09:31:45)",,LRBA,
"Pop2 high (25/05/2023, 09:31:45)",,PRICKLE1,
"Pop2 high (25/05/2023, 09:31:45)",,DIAPH3,
"Pop2 high (25/05/2023, 09:31:45)",,ZFAND3,
"Pop2 high (25/05/2023, 09:31:45)",,ENSBTAG00000053098,
"Pop2 high (25/05/2023, 09:31:45)",,CNKSR2,
"Pop2 high (25/05/2023, 09:31:45)",,EIF4G3,
"Pop2 high (25/05/2023, 09:31:45)",,MEF2A,
"Pop2 high (25/05/2023, 09:31:45)",,IKZF2,
"Pop2 high (25/05/2023, 09:31:45)",,CELF2,
