Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
TSPAN6,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
TNMD,Predicted membrane proteins,"","","","","","","",Y
DPM1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
SCYL3,"Enzymes, Predicted intracellular proteins","","",Y,Y,"","","",""
C1orf112,Predicted intracellular proteins,"","","","","","","",""
FGR,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
CFH,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
FUCA2,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","",Y,"","","","",""
GCLC,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
NFYA,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
STPG1,Predicted intracellular proteins,"","","","","","","",""
NIPAL3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
LAS1L,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ENPP4,"Enzymes, Predicted membrane proteins","","",Y,"","","","",Y
SEMA3F,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CFTR,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,"","","","",Y
ANKIB1,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
CYP51A1,"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","",Y,Y,"","","","",Y
KRIT1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
RAD52,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
BAD,"Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins","","","","","","","",""
LAP3,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"",Y,"","",""
CD99,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HS3ST1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
AOC1,"Enzymes, Metabolic proteins, Predicted secreted proteins","","",Y,"","","","",""
WNT16,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
HECW1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
MAD1L1,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
LASP1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SNX11,Predicted intracellular proteins,"","","","","","","",""
TMEM176A,"Predicted membrane proteins, Transporters","","","","","","","",Y
M6PR,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
KLHL13,Predicted intracellular proteins,"","","","","","","",""
CYP26B1,"Disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
ICA1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
DBNDD1,Predicted intracellular proteins,"","","","","","","",""
ALS2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CASP10,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
CFLAR,"Cancer-related genes, Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
TFPI,"Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","",Y,"","","","","",""
NDUFAF7,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RBM5,Predicted intracellular proteins,"","","","","","","",""
MTMR7,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SLC7A2,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
ARF5,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SARM1,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
POLDIP2,Predicted intracellular proteins,"","","","","","","",""
PLXND1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
AK2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
